id,name,acronym,allen_ccf_id,allen_ccf_id_path,color_hex_triplet
0,void,void,0,0/,000000
1,root,root,997,997/,FFFFFF
2,Basic cell groups and regions,grey,8,997/8/,BFDAE3
3,Cerebrum,CH,567,997/8/567/,B0F0FF
4,Cerebral cortex,CTX,688,997/8/567/688/,B0FFB8
5,Cortical plate,CTXpl,695,997/8/567/688/695/,70FF70
6,Isocortex,Isocortex,315,997/8/567/688/695/315/,70FF71
7,Frontal pole cerebral cortex,FRP,184,997/8/567/688/695/315/184/,268F45
8,Frontal pole layer 1,FRP1,68,997/8/567/688/695/315/184/68/,268F45
9,Frontal pole layer 2/3,FRP2/3,667,997/8/567/688/695/315/184/667/,268F45
10,Frontal pole layer 5,FRP5,526157192,997/8/567/688/695/315/184/526157192/,268F45
11,Frontal pole layer 6a,FRP6a,526157196,997/8/567/688/695/315/184/526157196/,268F45
12,Frontal pole layer 6b,FRP6b,526322264,997/8/567/688/695/315/184/526322264/,268F45
13,Somatomotor areas,MO,500,997/8/567/688/695/315/500/,1F9D5A
14,Somatomotor areas Layer 1,MO1,107,997/8/567/688/695/315/500/107/,1F9D5A
15,Somatomotor areas Layer 2/3,MO2/3,219,997/8/567/688/695/315/500/219/,1F9D5A
16,Somatomotor areas Layer 5,MO5,299,997/8/567/688/695/315/500/299/,1F9D5A
17,Somatomotor areas Layer 6a,MO6a,644,997/8/567/688/695/315/500/644/,1F9D5A
18,Somatomotor areas Layer 6b,MO6b,947,997/8/567/688/695/315/500/947/,1F9D5A
19,Primary motor area,MOp,985,997/8/567/688/695/315/500/985/,1F9D5A
20,Primary motor area Layer 1,MOp1,320,997/8/567/688/695/315/500/985/320/,1F9D5A
21,Primary motor area Layer 2/3,MOp2/3,943,997/8/567/688/695/315/500/985/943/,1F9D5A
22,Primary motor area Layer 5,MOp5,648,997/8/567/688/695/315/500/985/648/,1F9D5A
23,Primary motor area Layer 6a,MOp6a,844,997/8/567/688/695/315/500/985/844/,1F9D5A
24,Primary motor area Layer 6b,MOp6b,882,997/8/567/688/695/315/500/985/882/,1F9D5A
25,Secondary motor area,MOs,993,997/8/567/688/695/315/500/993/,1F9D5A
26,Secondary motor area layer 1,MOs1,656,997/8/567/688/695/315/500/993/656/,1F9D5A
27,Secondary motor area layer 2/3,MOs2/3,962,997/8/567/688/695/315/500/993/962/,1F9D5A
28,Secondary motor area layer 5,MOs5,767,997/8/567/688/695/315/500/993/767/,1F9D5A
29,Secondary motor area layer 6a,MOs6a,1021,997/8/567/688/695/315/500/993/1021/,1F9D5A
30,Secondary motor area layer 6b,MOs6b,1085,997/8/567/688/695/315/500/993/1085/,1F9D5A
31,Somatosensory areas,SS,453,997/8/567/688/695/315/453/,188064
32,Somatosensory areas layer 1,SS1,12993,997/8/567/688/695/315/453/12993/,188064
33,Somatosensory areas layer 2/3,SS2/3,12994,997/8/567/688/695/315/453/12994/,188064
34,Somatosensory areas layer 4,SS4,12995,997/8/567/688/695/315/453/12995/,188064
35,Somatosensory areas layer 5,SS5,12996,997/8/567/688/695/315/453/12996/,188064
36,Somatosensory areas layer 6a,SS6a,12997,997/8/567/688/695/315/453/12997/,188064
37,Somatosensory areas layer 6b,SS6b,12998,997/8/567/688/695/315/453/12998/,188064
38,Primary somatosensory area,SSp,322,997/8/567/688/695/315/453/322/,188064
39,Primary somatosensory area layer 1,SSp1,793,997/8/567/688/695/315/453/322/793/,188064
40,Primary somatosensory area layer 2/3,SSp2/3,346,997/8/567/688/695/315/453/322/346/,188064
41,Primary somatosensory area layer 4,SSp4,865,997/8/567/688/695/315/453/322/865/,188064
42,Primary somatosensory area layer 5,SSp5,921,997/8/567/688/695/315/453/322/921/,188064
43,Primary somatosensory area layer 6a,SSp6a,686,997/8/567/688/695/315/453/322/686/,188064
44,Primary somatosensory area layer 6b,SSp6b,719,997/8/567/688/695/315/453/322/719/,188064
45,Primary somatosensory area nose,SSp-n,353,997/8/567/688/695/315/453/322/353/,188064
46,Primary somatosensory area nose layer 1,SSp-n1,558,997/8/567/688/695/315/453/322/353/558/,188064
47,Primary somatosensory area nose layer 2/3,SSp-n2/3,838,997/8/567/688/695/315/453/322/353/838/,188064
48,Primary somatosensory area nose layer 4,SSp-n4,654,997/8/567/688/695/315/453/322/353/654/,188064
49,Primary somatosensory area nose layer 5,SSp-n5,702,997/8/567/688/695/315/453/322/353/702/,188064
50,Primary somatosensory area nose layer 6a,SSp-n6a,889,997/8/567/688/695/315/453/322/353/889/,188064
51,Primary somatosensory area nose layer 6b,SSp-n6b,929,997/8/567/688/695/315/453/322/353/929/,188064
52,Primary somatosensory area barrel field,SSp-bfd,329,997/8/567/688/695/315/453/322/329/,188064
53,Primary somatosensory area barrel field layer 1,SSp-bfd1,981,997/8/567/688/695/315/453/322/329/981/,188064
54,Primary somatosensory area barrel field layer 2/3,SSp-bfd2/3,201,997/8/567/688/695/315/453/322/329/201/,188064
55,Primary somatosensory area barrel field layer 4,SSp-bfd4,1047,997/8/567/688/695/315/453/322/329/1047/,188064
56,Primary somatosensory area barrel field layer 5,SSp-bfd5,1070,997/8/567/688/695/315/453/322/329/1070/,188064
57,Primary somatosensory area barrel field layer 6a,SSp-bfd6a,1038,997/8/567/688/695/315/453/322/329/1038/,188064
58,Primary somatosensory area barrel field layer 6b,SSp-bfd6b,1062,997/8/567/688/695/315/453/322/329/1062/,188064
59,Rostrolateral lateral visual area,VISrll,480149202,997/8/567/688/695/315/453/322/329/480149202/,188064
60,Rostrolateral lateral visual area layer 1,VISrll1,480149206,997/8/567/688/695/315/453/322/329/480149202/480149206/,188064
61,Rostrolateral lateral visual area layer 2/3,VISrll2/3,480149210,997/8/567/688/695/315/453/322/329/480149202/480149210/,188064
62,Rostrolateral lateral visual area layer 4,VISrll4,480149214,997/8/567/688/695/315/453/322/329/480149202/480149214/,188064
63,Rostrolateral lateral visual arealayer 5,VISrll5,480149218,997/8/567/688/695/315/453/322/329/480149202/480149218/,188064
64,Rostrolateral lateral visual area layer 6a,VISrll6a,480149222,997/8/567/688/695/315/453/322/329/480149202/480149222/,188064
65,Rostrolateral lateral visual area layer 6b,VISrll6b,480149226,997/8/567/688/695/315/453/322/329/480149202/480149226/,188064
66,Primary somatosensory area lower limb,SSp-ll,337,997/8/567/688/695/315/453/322/337/,188064
67,Primary somatosensory area lower limb layer 1,SSp-ll1,1030,997/8/567/688/695/315/453/322/337/1030/,188064
68,Primary somatosensory area lower limb layer 2/3,SSp-ll2/3,113,997/8/567/688/695/315/453/322/337/113/,188064
69,Primary somatosensory area lower limb layer 4,SSp-ll4,1094,997/8/567/688/695/315/453/322/337/1094/,188064
70,Primary somatosensory area lower limb layer 5,SSp-ll5,1128,997/8/567/688/695/315/453/322/337/1128/,188064
71,Primary somatosensory area lower limb layer 6a,SSp-ll6a,478,997/8/567/688/695/315/453/322/337/478/,188064
